"Variant id","Variant title",SKU,Barcode,"Product id","Product title","Product link",Vendor,Price,"Compare at price","Inventory Item ID","Cost per item","Variant Inventory Qty",Published
31570900933,"Picky Club (30% off)",CR01_PC30,,6966726213,"Cinnamon Roll'n",https:///products/cookie-doughpness-1,"Raisins, Walnuts & Cinnamon",1.95,"1.95 ",19697471173,,-163688,active
24050856005,,PBBP11,,6966726341,"Bakery Pack Sampler",https:///products/bakery-pack-sampler-energy-bar,"Cinnamon Roll'n, Blueberry Boomdizzle, and Ah, Fudge Nuts!",8.25,"8.25 ",12679422853,,-276,active
24050856261,,PBOG10,,6966726469,"OG Three Sampler",https:///products/og-three-sampler-energy-bars,"Lauren’s Mega Nuts, Need for Seed, All-In Almond",8.25,"8.25 ",12679423045,,-259,active
517631082501,"Unisex Small",PBSCHWAG_TH614MS,,6966726661,"Three Sisters Tee",https:///products/three-sisters-t-shirt,"Picky Bars",10.00,"25.00 ",519043219461,,-2,active
517631115269,"Unisex Medium",PBSCHWAG_TH614MM,,6966726661,"Three Sisters Tee",https:///products/three-sisters-t-shirt,"Picky Bars",10.00,"25.00 ",519043252229,,0,active
517631148037,"Unisex Large",PBSCHWAG_TH614ML,,6966726661,"Three Sisters Tee",https:///products/three-sisters-t-shirt,"Picky Bars",10.00,"25.00 ",519043284997,,0,active
517631180805,"Unisex X Large",PBSCHWAG_TH614MXL,,6966726661,"Three Sisters Tee",https:///products/three-sisters-t-shirt,"Picky Bars",10.00,"25.00 ",519043317765,,0,active
517630951429,"Women's Small",PBSCHWAG_TH614WS,,6966726661,"Three Sisters Tee",https:///products/three-sisters-t-shirt,"Picky Bars",10.00,"25.00 ",519043088389,,0,active
517630984197,"Women's Medium",PBSCHWAG_TH614WM,,6966726661,"Three Sisters Tee",https:///products/three-sisters-t-shirt,"Picky Bars",10.00,"25.00 ",519043121157,,0,active
517631016965,"Women's Large",PBSCHWAG_TH614WL,,6966726661,"Three Sisters Tee",https:///products/three-sisters-t-shirt,"Picky Bars",10.00,"25.00 ",519043153925,,0,active
517631049733,"Women's X Large",PBSCHWAG_TH614WXL,,6966726661,"Three Sisters Tee",https:///products/three-sisters-t-shirt,"Picky Bars",10.00,"25.00 ",519043186693,,0,active
13635327098928,$5.00,,,7014576517,"Gift Card",https:///products/gift-card,"Picky Bars",5.00,"5.00 ",13796646813744,,-19,active
24368713733,$10.00,,,7014576517,"Gift Card",https:///products/gift-card,"Picky Bars",10.00,"10.00 ",12938957317,,-208,active
24368713861,$25.00,,,7014576517,"Gift Card",https:///products/gift-card,"Picky Bars",25.00,"25.00 ",12938957381,,-80,active
24368713989,$50.00,,,7014576517,"Gift Card",https:///products/gift-card,"Picky Bars",50.00,"50.00 ",12938957445,,-65,active
24368714117,$100.00,,,7014576517,"Gift Card",https:///products/gift-card,"Picky Bars",100.00,"100.00 ",12938957509,,-15,active
39488640090160,Red,BELIEVE15RED-1,9781937715601,7081392453,"Believe Training Journal",https:///products/believe-training-journal-autographed,"Picky Bars",22.00,"22.00 ",41583453012016,,0,active
39488640122928,Blue,BELIEVE15RED-2,9781937715601,7081392453,"Believe Training Journal",https:///products/believe-training-journal-autographed,"Picky Bars",22.00,"22.00 ",41583453044784,,-1,active
